solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,ZEC/USDT,1,24183.32,0,,,1,31.12,31.12
crux-solver.near,ZEC/USDC,5,23339.02,0,,,5,19.39,19.52
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/TRX,32,22844.89,0,,,32,3.81,5.97
crux-solver.near,USDT/NEAR,30,22636.86,0,,,30,4.12,3.83
solver-multichain-asset.near,ETH/ETH,19,22544.54,0,,,19,1.00,1.00
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/TRX,5,22475.02,0,,,5,2.68,0.98
crux-solver.near,USDT/ETH,43,20892.29,0,,,43,4.94,5.34
solver-priv-liq.near,ZEC/USDT,3,19526.34,0,,,3,34.50,33.57
solver-priv-liq.near,USDC/ETH,5,18735.14,0,,,5,5.19,5.94
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/USDT,24,18280.35,0,,,24,4.94,3.53
solver-multichain-asset-3.near,USDC/USDC,7,17886.40,0,,,7,1.00,1.00
crux-solver.near,USDT/SOL,73,17720.85,0,,,73,7.33,7.27
crux-solver.near,BTC/ZEC,1,16508.81,0,,,1,3.04,3.04
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/ETH,3,15991.98,0,,,3,-36.82,-36.67
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/ETH,5,15416.65,0,,,5,-30.55,-30.61
crux-solver.near,USDT/BNB,12,14425.34,0,,,12,7.64,9.71
solver-priv-liq.near,ASTER/USDT,6,13076.30,0,,,6,22.78,14.57
solver-priv-liq.near,USDT/TRX,34,12243.09,0,,,34,27.89,27.10
solver-priv-liq.near,ADA/USDT,3,12217.86,0,,,3,4.29,1.86
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/USDT,2,11464.81,0,,,2,13.23,15.00
crux-solver.near,SOL/TRX,8,11092.68,0,,,8,5.70,7.47
crux-solver.near,SOL/ZEC,1,10744.15,0,,,1,20.19,20.19
crux-solver.near,USDT/XRP,6,10588.57,0,,,6,4.65,6.06
solver-priv-liq.near,USDT/VVV,10,10194.24,0,,,10,15.85,11.66
crux-solver.near,SOL/BTC,14,10158.58,0,,,14,2.76,3.53
433d1f6e5452c9f6087af460d1c6b799587132caabeb2477a0ad37e3e0b88d0c,USDT/USDC,1,9997.99,0,,,1,11.69,11.69
crux-solver.near,ETH/USDC,25,9663.13,0,,,25,6.58,6.97
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/ZEC,2,7764.80,0,,,2,50.70,50.74
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ETH/USDT,10,7654.33,0,,,10,3.51,3.05
crux-solver.near,BTC/ETH,14,7252.90,0,,,14,7.58,8.06
solver-priv-liq.near,USD1/USDT,1,7158.89,0,,,1,3.90,3.90
crux-solver.near,ETH/BTC,6,6290.51,0,,,6,5.47,4.32
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/DAI,6,6166.48,0,,,6,13.00,13.00
crux-solver.near,XRP/ETH,12,5976.21,0,,,12,8.74,9.27
solver-priv-liq.near,LTC/USDC,25,5256.29,0,,,25,16.17,14.41
crux-solver.near,USDT/USDT0,17,5226.29,0,,,17,0.96,0.93
ce72f625f99f907b6cadc7c40517aa10e0e195de793846d5cabd3442b6541c2d,USDT/USDT,1,4999.23,0,,,1,2.40,2.40
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/NEAR,1,4836.90,0,,,1,-46.31,-46.31
sodax-solver.near,SOL/ETH,39,4799.04,0,,,39,2.87,3.27
crux-solver.near,XRP/SOL,13,4662.95,0,,,13,9.89,8.82
crux-solver.near,TRX/USDT,9,4642.27,0,,,9,7.97,9.09
crux-solver.near,NEAR/BTC,2,4583.83,0,,,2,13.15,13.57
crux-solver.near,BNB/ETH,20,4452.22,0,,,20,4.08,2.74
solver-priv-liq.near,USDT/SOL,1,4450.03,0,,,1,6.71,6.71
crux-solver.near,ETH/ETH,7,4394.92,0,,,7,1.00,1.00
kipseli.near,ETH/USDT,4,4200.00,0,,,4,11.51,3.64
solver-priv-liq.near,USDT/LTC,19,4196.13,0,,,19,6.02,8.22
solver-priv-liq.near,USDT/UNI,3,4091.92,0,,,3,6.08,7.78
crux-solver.near,USDC/TRX,97,3955.15,0,,,97,4.19,4.36
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ZEC/ETH,1,3908.35,0,,,1,30.07,30.07
crux-solver.near,USDT0/USDT,5,3866.63,0,,,5,2.11,2.39
crux-solver.near,SOL/USDT,21,3847.58,0,,,21,0.08,-0.70
