pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
USDT/MON,5,264.34,0,,,5,13.82,14.22
BCH/USDC,2,262.52,0,,,2,-0.15,6.83
AVAX/USDT,1,258.38,0,,,1,8.61,8.61
USDT0/USDC,2,236.79,0,,,2,6.55,6.53
ZEC/NEAR,2,233.50,0,,,2,4.20,4.35
USDT/SPX,1,219.07,0,,,1,6.26,6.26
USDC/POL,3,204.74,0,,,3,3.81,1.34
TON/USDT,9,198.13,0,,,0,,
ETH/TRX,6,193.17,0,,,6,11.86,12.91
ETH/NEAR,4,175.72,0,,,4,9.19,8.55
BTC/NEAR,5,172.59,0,,,5,7.10,6.03
DAI/NEAR,2,172.52,0,,,2,5.99,5.98
XRP/USDC,6,149.56,0,,,6,8.43,7.92
ZEC/BTC,2,148.19,0,,,2,26.93,29.46
AVAX/ETH,1,146.89,0,,,1,10.12,10.12
ZEC/SOL,1,145.46,0,,,1,33.43,33.43
USDT/BCH,2,144.75,0,,,2,21.83,20.04
NEAR/ETH,4,127.17,0,,,4,12.00,11.96
JAMBO/NEAR,1,116.59,0,,,0,,
XAUT/USDT,1,114.47,0,,,0,,
BTC/XRP,3,105.88,0,,,3,12.75,16.27
AAVE/USDT,1,100.93,0,,,1,11.96,11.96
USDT/LINK,1,98.12,0,,,1,8.37,8.37
XRP/TRX,2,95.41,0,,,2,9.50,8.69
USDT/PEPE,2,93.04,0,,,0,,
ETH/AVAX,3,87.62,0,,,3,5.79,7.33
NEAR/BNB,2,87.35,0,,,2,16.72,17.42
ETH/POL,5,81.94,0,,,5,-0.25,-0.37
USDT/AAVE,1,75.57,0,,,1,3.44,3.44
BTC/POL,1,72.26,0,,,1,2.48,2.48
SUI/SOL,1,69.15,0,,,1,8.36,8.36
RHEA/NEAR,1,68.99,0,,,0,,
USDT/SHIB,2,62.49,0,,,0,,
GNO/USDT,2,49.80,0,,,0,,
USDC/ADA,1,49.30,0,,,1,15.54,15.54
PEPE/USDT,2,48.84,0,,,0,,
AVAX/USDC,1,42.72,0,,,1,12.80,12.80
NPRO/NEAR,3,41.39,0,,,0,,
AURORA/USDT,1,39.26,0,,,0,,
LINK/USDT,2,34.11,0,,,2,11.02,10.92
TRX/XRP,1,32.00,0,,,1,11.47,11.47
TRX/NEAR,2,31.95,0,,,2,15.38,16.22
USDT/TITN,1,30.00,0,,,0,,
BLACKDRAGON/NEAR,1,29.80,0,,,0,,
USDT/POL,1,29.79,0,,,1,2.64,2.64
USDC/SHIB,1,29.71,0,,,0,,
AVAX/POL,1,26.91,0,,,1,6.70,6.70
VVV/USDT,1,26.31,0,,,1,19.59,19.59
UNI/USDT,2,25.83,0,,,2,30.44,30.44
SAFE/USDT,1,23.49,0,,,0,,
TITN/USDT,1,23.35,0,,,0,,
POL/BTC,1,23.29,0,,,1,1.45,1.45
USDT/PENGU,1,19.45,0,,,1,12.02,12.02
ADA/USDC,1,18.32,0,,,1,12.40,12.40
ETH/USDT0,1,17.76,0,,,1,3.71,3.71
USDT0/TRX,1,17.63,0,,,1,12.20,12.20
XLM/USDT,1,16.63,0,,,1,9.72,9.72
XRP/BNB,1,15.37,0,,,1,9.95,9.95
USDC/XAUT,1,15.19,0,,,0,,
POL/ETH,1,14.73,0,,,1,27.70,27.70
SOL/POL,1,13.83,0,,,1,0.46,0.46
POL/USDC,1,12.94,0,,,1,10.66,10.66
USDT/ADA,1,12.87,0,,,1,9.19,9.19
SHIB/USDC,1,11.23,0,,,0,,
BNB/AVAX,1,10.95,0,,,1,7.36,7.36
POL/BNB,1,10.77,0,,,1,18.22,18.22
ARB/USDT,1,10.27,0,,,1,9.46,9.46
